Date,Open,High,Low,Close,Adj Close,Volume
2015-12-09,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-10,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-11,155.000000,155.000000,155.000000,155.000000,138.529617,100
2015-12-14,155.000000,155.000000,155.000000,155.000000,138.529617,0
2015-12-15,155.000000,155.000000,155.000000,155.000000,138.529617,0
2015-12-16,155.000000,155.000000,155.000000,155.000000,138.529617,0
2015-12-17,160.000000,160.000000,160.000000,160.000000,142.998322,20000
2015-12-18,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-21,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-22,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-23,160.000000,160.000000,160.000000,160.000000,142.998322,0
2015-12-28,157.000000,157.000000,157.000000,157.000000,140.317108,600000
2015-12-29,157.000000,157.000000,157.000000,157.000000,140.317108,0
2015-12-30,157.000000,157.000000,157.000000,157.000000,140.317108,0
2016-01-04,157.000000,157.000000,157.000000,157.000000,140.317108,102000
2016-01-05,190.000000,190.000000,160.000000,160.000000,142.998322,12100
2016-01-06,160.000000,160.000000,160.000000,160.000000,142.998322,0
2016-01-07,178.000000,178.000000,170.000000,170.000000,151.935715,2600
2016-01-08,157.000000,165.000000,157.000000,165.000000,147.467010,1100
2016-01-11,165.000000,165.000000,165.000000,165.000000,147.467010,100
2016-01-12,169.000000,169.000000,169.000000,169.000000,151.041962,100
2016-01-13,169.000000,169.000000,169.000000,169.000000,151.041962,0
2016-01-14,169.000000,169.000000,169.000000,169.000000,151.041962,0
2016-01-15,189.000000,189.000000,189.000000,189.000000,168.916763,100
2016-01-18,199.000000,199.000000,171.000000,171.000000,152.829453,200
2016-01-19,171.000000,171.000000,171.000000,171.000000,152.829453,0
2016-01-20,171.000000,171.000000,171.000000,171.000000,152.829453,0
2016-01-21,156.000000,156.000000,156.000000,156.000000,139.423355,100
2016-01-22,189.000000,210.000000,169.000000,169.000000,151.041962,2100
2016-01-25,169.000000,169.000000,169.000000,169.000000,151.041962,0
2016-01-26,175.000000,175.000000,163.000000,163.000000,145.679535,200
2016-01-27,175.000000,175.000000,175.000000,175.000000,156.404419,100
2016-01-28,158.000000,158.000000,158.000000,158.000000,141.210831,106000
2016-01-29,168.000000,210.000000,165.000000,210.000000,187.685287,4089600
2016-02-01,210.000000,210.000000,210.000000,210.000000,187.685287,0
2016-02-02,189.000000,200.000000,189.000000,200.000000,178.747894,8500
2016-02-03,200.000000,203.000000,185.000000,195.000000,174.279205,85700
2016-02-04,184.000000,195.000000,184.000000,195.000000,174.279205,800
2016-02-05,195.000000,195.000000,195.000000,195.000000,174.279205,0
2016-02-09,195.000000,195.000000,195.000000,195.000000,174.279205,0
2016-02-10,195.000000,195.000000,195.000000,195.000000,174.279205,0
2016-02-11,190.000000,190.000000,189.000000,189.000000,168.916763,200
2016-02-12,173.000000,187.000000,173.000000,187.000000,167.129288,21000
2016-02-15,170.000000,187.000000,170.000000,187.000000,167.129288,600
2016-02-16,175.000000,184.000000,175.000000,184.000000,164.448074,1400
2016-02-17,184.000000,184.000000,184.000000,184.000000,164.448074,0
